1980:10:27_21:07m:13   -58   52  -55   20z :  -54   41  -48
1980:11:06_21:07m:13   -67   58  -63   20z :  -54   43  -48
1980:11:16_21:07m:13   -71   61  -66   20z :  -53   45  -49
1980:11:26_21:07m:13   -76   57  -66   20z :  -52   47  -50
1980:12:06_21:07m:13   -80   56  -68   20z :  -51   49  -50
1980:12:16_21:07m:13   -76   55  -66   20z :  -50   51  -51
1980:12:26_21:07m:13   -71   51  -61   20z :  -50   53  -51
1981:01:05_21:07m:13   -62   48  -55   20z :  -49   54  -51
1981:01:15_21:07m:13   -54   37  -46   20z :  -48   56  -52
1981:01:25_21:07m:13   -40   32  -36   20z :  -47   57  -52
1981:02:04_21:07m:13   -38   31  -35   20z :  -46   59  -52
1981:02:14_21:07m:13   -34   35  -34   20z :  -45   60  -53
1981:02:24_21:07m:13   -30   35  -32   20z :  -45   61  -53
1981:03:06_21:07m:13   -26   30  -28   20z :  -44   62  -53
1981:03:16_21:07m:13   -16   26  -21   20z :  -43   63  -53
1981:03:26_21:07m:13   -21   57  -39   20z :  -43   63  -53
1981:04:05_21:07m:13   -27   58  -43   20z :  -42   64  -53
1981:04:15_21:07m:13   -21   59  -40   20z :  -42   65  -53
1981:04:25_21:07m:13   -18   62  -40   20z :  -42   65  -53
1981:05:05_21:07m:13   -19   70  -44   20z :  -41   65  -53
1981:05:15_21:07m:13   -32   79  -55   20z :  -41   65  -53
1981:05:25_21:07m:13   -30   88  -59   20z :  -41   65  -53
1981:06:04_21:07m:13   -31   88  -60   20z :  -41   65  -53
1981:06:14_21:07m:13   -32   97  -65   20z :  -41   65  -53
1981:06:24_21:07m:13   -46   97  -72   20z :  -41   65  -53
1981:07:04_21:07m:13   -51   95  -73   20z :  -41   64  -53
1981:07:14_21:07m:13   -54   81  -67   20z :  -42   64  -53
1981:07:24_21:07m:13   -53   73  -63   20z :  -42   63  -53
1981:08:03_21:07m:13   -56   67  -61   20z :  -42   62  -52
1981:08:13_21:07m:13   -61   60  -60   20z :  -43   62  -52
1981:08:23_21:07m:13   -60   55  -58   20z :  -44   61  -52
1981:09:02_21:07m:13   -49   51  -50   20z :  -44   60  -52
1981:09:12_21:07m:13   -50   40  -45   20z :  -45   59  -52
