Dato (brøkdel), Magnetfeltsstyrke
1990.752737850787,9.935897435897434
1990.8360711841206,10.692307692307692
1990.9194045174538,12.192307692307692
1991.002737850787,14.807692307692308
1991.0860711841206,18.849358974358974
1991.1694045174538,23.82692307692308
1991.252737850787,28.92948717948718
1991.3360711841206,33.49358974358974
1991.4194045174538,38.22435897435898
1991.502737850787,43.96794871794872
1991.5860711841206,49.57051282051282
1991.6694045174538,55.05769230769231
1991.752737850787,60.557692307692314
1991.8360711841206,66.09615384615384
1991.9194045174538,71.42948717948718
1992.002737850787,75.58333333333334
1992.0860711841206,78.875
1992.1694045174538,82.0
1992.252737850787,84.91025641025642
1992.3360711841206,87.23076923076923
1992.4194045174538,88.8076923076923
1992.502737850787,90.01282051282053
1992.5860711841206,91.7948717948718
1992.6694045174538,93.62820512820515
