 Year Mon  Area
 1912  7    9.5
 1912  8    0.3
 1912  9   47.3
 1912 10   55.0
 1912 11    2.9
 1912 12   74.1
 1913  1    6.5
 1913  2    0.0
 1913  3    0.8
 1913  4    3.3
 1913  5    0.0
 1913  6    0.0
 1913  7    0.0
 1913  8    0.0
 1913  9    0.0
 1913 10    0.0
 1913 11    5.2
 1913 12   13.8
 1914  1    6.5
 1914  2   10.1
 1914  3    0.2
 1914  4   25.1
 1914  5    2.4
 1914  6  155.2
 1914  7   46.5
 1914  8    8.7
 1914  9  132.2
 1914 10    4.8
 1914 11   77.8
 1914 12  169.7
 1915  1   28.4
 1915  2  342.6
 1915  3  186.1
 1915  4  210.8
 1915  5   65.0
 1915  6  425.3
 1915  7 1059.4
 1915  8  590.0
 1915  9  248.1
 1915 10  218.1
 1915 11  244.0
 1915 12  193.5
 1916  1  194.2
 1916  2  471.6
 1916  3  416.0
 1916  4  293.3
 1916  5  593.4
 1916  6  312.2
 1916  7   32.3
 1916  8   33.3
 1916  9   82.2
 1916 10  115.1
 1916 11  250.2
 1916 12  271.1
 1917  1  134.7
 1917  2 1209.4
 1917  3  371.5
 1917  4  257.0
 1917  5  887.7
 1917  6  771.3
 1917  7  496.1
 1917  8 1008.2
 1917  9  849.5
 1917 10  576.2
 1917 11  536.9
 1917 12 1065.8
 1918  1  952.7
 1918  2  206.7
 1918  3  308.3
 1918  4  418.8
 1918  5  424.9
 1918  6  235.8
 1918  7  412.6
 1918  8  640.4
 1918  9  510.1
 1918 10  402.9
 1918 11  500.6
 1918 12 1037.4
 1919  1  297.3
 1919  2  172.7
 1919  3  392.4
 1919  4  371.9
 1919  5  620.9
 1919  6  980.3
 1919  7  690.5
 1919  8  908.2
 1919  9  727.0
 1919 10  387.9
 1919 11  198.6
 1919 12  123.6
 1920  1 1009.1
 1920  2  287.5
 1920  3 1088.7
 1920  4  267.1
 1920  5   94.3
 1920  6  107.2
 1920  7  194.1
 1920  8  125.6
 1920  9  696.2
 1920 10  320.6
 1920 11  501.2
 1920 12  221.8
 1921  1  403.0
 1921  2  304.6
 1921  3  111.7
 1921  4  118.6
 1921  5  122.9
 1921  6  113.4
 1921  7  236.8
 1921  8  130.8
 1921  9   65.7
 1921 10    6.1
 1921 11  249.7
 1921 12  169.4
 1922  1   70.7
 1922  2  239.5
 1922  3  251.6
 1922  4    1.5
 1922  5    0.1
 1922  6    6.1
 1922  7  104.7
 1922  8   61.8
 1922  9   56.5
 1922 10   47.6
 1922 11  171.8
 1922 12   92.1
 1923  1    1.7
 1923  2    0.4
 1923  3    0.3
 1923  4   24.0
 1923  5    4.4
 1923  6   11.3
 1923  7    1.6
 1923  8    1.2
 1923  9   93.3
 1923 10   86.6
 1923 11   39.5
 1923 12    0.1
 1924  1    0.4
 1924  2    1.6
 1924  3    1.1
 1924  4  128.2
 1924  5  139.6
 1924  6   12.4
 1924  7    4.8
 1924  8    7.7
 1924  9   42.8
 1924 10  123.2
 1924 11    1.4
 1924 12   69.1
 1925  1    4.6
 1925  2  244.8
 1925  3  127.1
 1925  4   80.6
 1925  5   53.4
 1925  6  192.5
 1925  7  296.6
 1925  8  171.0
 1925  9  287.7
 1925 10  788.3
 1925 11  403.7
 1925 12 1085.7
 1926  1  734.9
 1926  2 1380.6
 1926  3  927.4
 1926  4  262.5
 1926  5  850.5
 1926  6  300.9
 1926  7  510.7
 1926  8  744.5
 1926  9  226.7
 1926 10  339.6
 1926 11  382.9
 1926 12  560.6
 1927  1 1053.2
 1927  2  967.0
 1927  3  312.1
 1927  4  784.9
 1927  5  583.8
 1927  6  308.0
 1927  7  460.9
 1927  8  907.5
 1927  9 1021.4
 1927 10  587.1
 1927 11  769.1
 1927 12  427.2
 1928  1  713.4
 1928  2  639.6
 1928  3  769.5
 1928  4  925.6
 1928  5  990.5
 1928  6  469.6
 1928  7  891.9
 1928  8  582.6
 1928  9 1015.4
 1928 10  229.3
 1928 11  427.6
 1928 12  300.7
 1929  1  265.5
 1929  2  631.4
 1929  3  839.3
 1929  4  506.3
 1929  5  319.0
 1929  6  750.2
 1929  7  839.0
 1929  8  591.3
 1929  9  180.1
 1929 10  578.8
 1929 11  741.6
 1929 12  816.8
 1930  1  309.7
 1930  2  391.5
 1930  3  497.0
 1930  4  230.0
 1930  5  162.2
 1930  6   93.3
 1930  7   68.5
 1930  8  186.2
 1930  9   90.6
 1930 10  220.3
 1930 11  418.2
 1930 12   99.4
 1931  1   27.2
 1931  2  146.1
 1931  3  206.9
 1931  4   90.6
 1931  5  132.7
 1931  6   13.8
 1931  7   61.2
 1931  8   46.1
 1931  9   41.0
 1931 10   70.8
 1931 11   23.9
 1931 12   38.1
 1932  1   79.4
 1932  2    8.9
 1932  3    8.6
 1932  4   36.8
 1932  5   49.7
 1932  6  101.0
 1932  7  110.1
 1932  8   79.8
 1932  9    5.9
 1932 10    0.7
 1932 11    4.8
 1932 12    0.2
 1933  1    0.0
 1933  2    2.0
 1933  3    0.0
 1933  4    0.0
 1933  5    0.4
 1933  6    1.6
 1933  7    0.9
 1933  8    0.2
 1933  9   15.5
 1933 10    0.5
 1933 11    0.0
 1933 12    0.0
 1934  1    0.0
 1934  2    4.5
 1934  3   10.2
 1934  4  343.2
 1934  5  267.2
 1934  6    5.3
 1934  7    4.4
 1934  8   88.1
 1934  9    2.8
 1934 10   10.6
 1934 11   23.4
 1934 12  127.4
 1935  1  264.8
 1935  2  188.5
 1935  3  107.9
 1935  4  102.4
 1935  5  308.8
 1935  6  593.8
 1935  7  429.7
 1935  8  135.0
 1935  9  141.5
 1935 10  164.9
 1935 11 1036.6
 1935 12 1551.3
 1936  1 1086.0
 1936  2  816.6
 1936  3  855.1
 1936  4  623.4
 1936  5  448.0
 1936  6  368.0
 1936  7  238.2
 1936  8  511.7
 1936  9  643.5
 1936 10  505.1
 1936 11 1314.2
 1936 12  728.9
 1937  1 1457.9
 1937  2  884.0
 1937  3  243.7
 1937  4  681.5
 1937  5  957.5
 1937  6 1170.9
 1937  7 1042.7
 1937  8  857.7
 1937  9  151.4
 1937 10  541.5
 1937 11  557.0
 1937 12  534.5
 1938  1  200.3
 1938  2 1180.3
 1938  3 1110.9
 1938  4 1671.2
 1938  5 1554.6
 1938  6  347.4
 1938  7 2238.8
 1938  8 1187.5
 1938  9  837.0
 1938 10  358.8
 1938 11 1615.9
 1938 12 1248.2
 1939  1  773.0
 1939  2  694.4
 1939  3  448.4
 1939  4  916.7
 1939  5  670.8
 1939  6  388.2
 1939  7 1023.2
 1939  8 1004.9
 1939  9 2802.3
 1939 10 1344.1
 1939 11  773.5
 1939 12  341.3
 1940  1  257.8
 1940  2  495.8
 1940  3  590.0
 1940  4  376.4
 1940  5  360.0
 1940  6 1094.0
 1940  7  261.3
 1940  8 1031.0
 1940  9  701.0
 1940 10  691.5
 1940 11  229.4
 1940 12  393.3
 1941  1  174.4
 1941  2  190.9
 1941  3  116.5
 1941  4  319.3
 1941  5  105.7
 1941  6  218.3
 1941  7  444.6
 1941  8  311.8
 1941  9  232.1
 1941 10   80.1
 1941 11  257.5
 1941 12  233.1
 1942  1  241.3
 1942  2  191.8
 1942  3  132.5
 1942  4  362.1
 1942  5  118.5
 1942  6    9.4
 1942  7  183.7
 1942  8  111.9
 1942  9   92.5
 1942 10  218.4
 1942 11  300.6
 1942 12   91.2
 1943  1   40.6
 1943  2    9.6
 1943  3   12.6
 1943  4  144.7
 1943  5   46.2
 1943  6    6.6
 1943  7   15.4
 1943  8   57.8
 1943  9   20.7
 1943 10    2.5
 1943 11    6.4
 1943 12  187.3
 1944  1    0.6
 1944  2    0.0
 1944  3  143.3
 1944  4    0.7
 1944  5    2.5
 1944  6    3.4
 1944  7   19.7
 1944  8   72.0
 1944  9  242.4
 1944 10  145.0
 1944 11   15.8
 1944 12  344.3
 1945  1   92.9
 1945  2   48.1
 1945  3  503.7
 1945  4  577.0
 1945  5  263.4
 1945  6  378.2
 1945  7  336.2
 1945  8   20.6
 1945  9  350.4
 1945 10  660.3
 1945 11  251.6
 1945 12  203.6
 1946  1  443.7
 1946  2  620.3
 1946  3  620.3
 1946  4  870.5
 1946  5  601.3
 1946  6  328.8
 1946  7  785.9
 1946  8  830.5
 1946  9  433.4
 1946 10  834.6
 1946 11  854.8
 1946 12 1268.8
 1947  1 1486.4
 1947  2 2454.2
 1947  3 2775.7
 1947  4 3456.1
 1947  5 1924.0
 1947  6  645.2
 1947  7  911.6
 1947  8 1813.8
 1947  9  895.7
 1947 10 1140.0
 1947 11 1046.0
 1947 12 1166.2
 1948  1  866.7
 1948  2  552.7
 1948  3  395.3
 1948  4 1467.9
 1948  5 2016.3
 1948  6 1200.7
 1948  7  430.3
 1948  8 1300.9
 1948  9 1238.1
 1948 10  656.3
 1948 11  490.4
 1948 12 1870.9
 1949  1  924.0
 1949  2 2217.2
 1949  3 1221.3
 1949  4  799.1
 1949  5  517.0
 1949  6  680.6
 1949  7  994.3
 1949  8  799.1
 1949  9 1598.7
 1949 10  482.0
 1949 11  813.9
 1949 12  469.9
 1950  1  195.3
 1950  2  393.0
 1950  3  744.3
 1950  4  941.0
 1950  5  426.5
 1950  6  523.8
 1950  7  516.7
 1950  8  695.2
 1950  9  134.2
 1950 10  368.7
 1950 11  241.5
 1950 12  233.6
 1951  1  226.8
 1951  2   83.9
 1951  3  128.4
 1951  4  469.2
 1951  5  466.3
 1951  6 1317.2
