 Year Mon  Area
 1938  4  694.4
 1938  5  765.1
 1938  6  975.4
 1938  7  924.4
 1938  8  491.3
 1938  9  766.5
 1938 10 1558.5
 1938 11  797.0
 1938 12  668.6
 1939  1  386.1
 1939  2  336.8
 1939  3  314.8
 1939  4 1083.0
 1939  5 1080.2
 1939  6  742.4
 1939  7  939.2
 1939  8 1322.0
 1939  9  362.8
 1939 10  576.2
 1939 11  397.1
 1939 12  200.5
 1940  1  900.7
 1940  2  467.8
 1940  3  877.5
 1940  4  265.7
 1940  5  308.3
 1940  6  203.1
 1940  7  631.8
 1940  8  868.8
 1940  9  244.8
 1940 10  366.1
 1940 11  364.9
 1940 12  465.0
 1941  1  309.5
 1941  2  288.0
 1941  3  403.0
 1941  4   28.0
 1941  5  100.7
 1941  6  557.5
 1941  7  552.5
 1941  8  596.0
 1941  9 1115.8
 1941 10  748.6
 1941 11  384.2
 1941 12  129.4
 1942  1  120.5
 1942  2  799.6
 1942  3  791.1
 1942  4  615.5
 1942  5  157.0
 1942  6   80.0
 1942  7    4.4
 1942  8  130.5
 1942  9   16.2
 1942 10   12.5
 1942 11  184.8
 1942 12  162.1
 1943  1   31.7
 1943  2  542.0
 1943  3  615.4
 1943  4  608.5
 1943  5  202.5
 1943  6   30.2
 1943  7  224.6
 1943  8   84.9
 1943  9  221.3
 1943 10  232.2
 1943 11  120.4
 1943 12   97.3
 1944  1   25.0
 1944  2    1.6
 1944  3    2.0
 1944  4    0.0
 1944  5    6.3
 1944  6   49.1
 1944  7    4.5
 1944  8    6.4
 1944  9    7.7
 1944 10   47.8
 1944 11  161.7
 1944 12  194.0
 1945  1   89.4
 1945  2   44.2
 1945  3   11.0
 1945  4    7.6
 1945  5   19.6
 1945  6   21.1
 1945  7  169.4
 1945  8  250.1
 1945  9  100.3
 1945 10  450.9
 1945 11  147.0
 1945 12  121.7
 1946  1  793.7
 1946  2 2470.7
 1946  3  930.6
 1946  4  563.0
 1946  5  483.6
 1946  6  386.9
 1946  7 2126.5
 1946  8 1460.2
 1946  9 1426.4
 1946 10  509.9
 1946 11  997.6
 1946 12 1244.7
 1947  1  821.2
 1947  2  266.8
 1947  3  820.1
 1947  4  494.2
 1947  5 1817.3
 1947  6 1288.6
 1947  7 1539.5
 1947  8 1393.5
 1947  9 1095.9
 1947 10 1239.8
 1947 11  640.4
 1947 12  476.4
 1948  1  246.3
 1948  2  536.9
 1948  3  866.0
 1948  4 1964.2
 1948  5 1288.9
 1948  6 1358.8
 1948  7 1335.7
 1948  8  774.4
 1948  9  626.8
 1948 10 1089.0
 1948 11  515.6
 1948 12  606.0
 1949  1 1316.1
 1949  2 1423.0
 1949  3 2055.4
 1949  4 1083.1
 1949  5  700.1
 1949  6  925.8
 1949  7  757.7
 1949  8 1466.0
 1949  9  586.8
 1949 10 1333.0
 1949 11 1499.0
 1949 12 1016.5
 1950  1 1220.9
 1950  2 1534.3
 1950  3  916.0
 1950  4 1418.1
 1950  5 1151.5
 1950  6  524.6
 1950  7  739.0
 1950  8  373.3
 1950  9  354.2
 1950 10  202.4
 1950 11  503.4
 1950 12  376.6
 1951  1  519.6
 1951  2  542.9
 1951  3  716.8
 1951  4 1129.8
 1951  5 2432.7
 1951  6 1159.8
 1951  7  150.5
 1951  8  310.4
 1951  9  712.3
 1951 10  238.9
 1951 11  302.6
 1951 12  542.5
 1952  1  390.7
 1952  2   32.8
 1952  3   14.4
 1952  4  206.1
 1952  5   11.8
 1952  6   54.9
 1952  7  106.1
 1952  8  383.4
 1952  9  129.8
 1952 10  321.6
 1952 11  415.9
 1952 12  269.0
 1953  1  147.8
 1953  2    9.9
 1953  3   35.6
 1953  4  391.7
 1953  5  194.3
 1953  6  119.6
 1953  7    0.3
 1953  8  247.3
 1953  9  119.0
 1953 10    1.9
 1953 11    1.4
 1953 12    2.3
 1954  1    0.4
 1954  2    1.4
 1954  3    0.6
 1954  4    0.3
 1954  5    0.8
 1954  6    1.8
 1954  7    9.6
 1954  8   24.5
